6,0,y_abs_diff,7,z_abs_diff,15,x_tm_peaks,1,x_abs_diff,21,25,y_mean,26,z_tm_peaks,9,10,11,19,8,22,2
34,5,1.3322676295501878e-17,50,1.3322676295501878e-17,14,25.0,8,1.3322676295501878e-17,10,47,-0.042851320619,23,3400.0,6,11,13,2,17,34,4
40,5,1.021405182655144e-16,49,1.021405182655144e-16,8,25.0,5,1.021405182655144e-16,3,64,0.0013332377334999,23,3350.0,5,8,14,2,16,30,4
47,5,4.884981308350689e-17,38,4.884981308350689e-17,31,1125.0,5,4.884981308350689e-17,9,45,0.0424207356989999,19,3425.0,4,5,14,9,11,31,3
47,4,6.661338147750939e-18,47,6.661338147750939e-18,20,3400.0,4,6.661338147750939e-18,5,77,0.0412793083664999,33,1100.0,8,8,17,2,7,18,8
47,6,2.7963742432746126e-17,48,2.7963742432746126e-17,14,1100.0,2,2.7963742432746126e-17,4,83,-0.0032058747454999,34,2175.0,7,7,18,2,13,16,7
48,5,1.0547118733938989e-17,48,1.0547118733938989e-17,22,25.0,6,1.0547118733938989e-17,3,65,-0.0533124508414999,24,4150.0,6,3,6,10,20,29,4
43,7,1.1546319456101628e-16,49,1.1546319456101628e-16,27,2350.0,3,1.1546319456101628e-16,3,56,-0.0462778776969999,28,4175.0,6,8,5,5,29,27,5
56,5,7.438494264988548e-17,36,7.438494264988548e-17,44,1175.0,3,7.438494264988548e-17,22,41,0.0217699015194999,17,4575.0,5,1,2,10,14,24,4
49,4,3.261280134836397e-18,35,3.261280134836397e-18,38,3375.0,4,3.261280134836397e-18,21,27,0.0859567198819999,16,3400.0,7,1,2,11,12,15,4
43,7,1.6653345369377347e-17,45,1.6653345369377347e-17,27,2250.0,3,1.6653345369377347e-17,11,60,0.034282731698,20,4450.0,5,7,19,10,15,28,4
45,5,8.881784197001253e-17,52,8.881784197001253e-17,44,2350.0,5,8.881784197001253e-17,4,69,-0.0462921512865,26,2325.0,6,2,8,9,17,20,6
47,6,1.021405182655144e-16,43,1.021405182655144e-16,47,25.0,5,1.021405182655144e-16,2,70,-0.079581515918,29,3325.0,8,3,8,4,21,20,5
47,3,1.942890293094024e-17,42,1.942890293094024e-17,35,25.0,6,1.942890293094024e-17,8,50,-0.0361593675044999,27,1100.0,6,3,6,4,19,29,2
48,2,1.5543122344752193e-17,41,1.5543122344752193e-17,18,25.0,4,1.5543122344752193e-17,4,55,0.0312765969944999,26,4700.0,4,11,14,3,18,18,3
44,1,1.3322676295501878e-17,51,1.3322676295501878e-17,45,3575.0,4,1.3322676295501878e-17,6,50,0.0602940828245,31,1125.0,6,3,6,3,18,17,5
52,4,5.10702591327572e-17,32,5.10702591327572e-17,56,1225.0,3,5.10702591327572e-17,15,43,0.0452357833245,20,3600.0,5,3,2,11,12,17,9
42,4,3.663735981263017e-17,43,3.663735981263017e-17,34,25.0,3,3.663735981263017e-17,11,21,0.0125709335199999,9,2375.0,4,3,9,7,26,22,10
41,4,5.10702591327572e-17,55,5.10702591327572e-17,30,25.0,3,5.10702591327572e-17,8,23,0.0186816754374999,11,25.0,3,10,16,4,24,30,8
49,6,5.773159728050814e-17,42,5.773159728050814e-17,29,3400.0,4,5.773159728050814e-17,13,37,-0.0763670218195,16,3400.0,7,3,13,5,21,22,7
53,6,5.440092820663267e-17,38,5.440092820663267e-17,42,2325.0,5,5.440092820663267e-17,14,39,-0.058548026128,19,2275.0,7,3,5,6,24,26,3
56,4,2.4424906541753444e-17,29,2.4424906541753444e-17,30,25.0,6,2.4424906541753444e-17,12,47,0.0239518729919999,19,4525.0,4,4,6,2,4,28,8
55,2,2.6645352591003762e-17,29,2.6645352591003762e-17,29,25.0,5,2.6645352591003762e-17,14,35,0.0216214165049999,22,4625.0,4,3,4,2,9,18,9
39,2,3.663735981263017e-17,46,3.663735981263017e-17,28,3525.0,4,3.663735981263017e-17,18,29,0.0254136410444999,16,1300.0,9,2,6,2,13,20,6
50,4,1.0547118733938988e-16,37,1.0547118733938988e-16,37,2425.0,4,1.0547118733938988e-16,8,37,0.003252390387,10,3525.0,7,3,11,6,13,30,5
58,6,8.215650382226157e-17,31,8.215650382226157e-17,45,2225.0,2,8.215650382226157e-17,4,51,-0.023909416849,13,3300.0,6,2,7,9,9,31,8
58,7,5.995204332975846e-17,38,5.995204332975846e-17,22,2275.0,3,5.995204332975846e-17,34,21,-0.007249352289,11,4050.0,8,6,10,6,13,12,4
44,7,3.774758283725533e-17,38,3.774758283725533e-17,28,25.0,3,3.774758283725533e-17,36,16,0.004154416717,14,3275.0,10,1,8,3,25,14,3
51,5,2.886579864025407e-17,37,2.886579864025407e-17,40,1100.0,2,2.886579864025407e-17,22,16,0.0678120625535,14,4450.0,9,2,6,4,13,17,5
49,5,3.0496438707672266e-17,38,3.0496438707672266e-17,36,1175.0,4,3.0496438707672266e-17,19,43,0.0083519375879999,14,2300.0,8,4,9,2,11,25,10
53,7,9.325873406851316e-17,36,9.325873406851316e-17,48,3475.0,2,9.325873406851316e-17,21,39,-0.0705750246479999,16,3425.0,8,5,4,10,11,20,9
54,4,8.881784197001254e-18,44,8.881784197001254e-18,45,2275.0,7,8.881784197001254e-18,23,28,-0.031007403481,20,2225.0,6,5,2,12,4,16,4
54,5,1.2656542480726783e-16,37,1.2656542480726783e-16,48,1125.0,7,1.2656542480726783e-16,27,32,-0.0105311530325,18,2250.0,6,3,9,4,6,19,5
54,4,5.995204332975846e-17,26,5.995204332975846e-17,57,25.0,8,5.995204332975846e-17,6,44,0.0579188996904999,17,4550.0,5,2,3,8,7,35,12
52,4,1.1102230246251566e-17,24,1.1102230246251566e-17,57,25.0,9,1.1102230246251566e-17,8,40,0.034750017133,8,3400.0,5,2,5,6,7,29,10
48,3,7.16093850883226e-17,43,7.16093850883226e-17,57,2300.0,5,7.16093850883226e-17,10,44,-0.0084303459429999,7,3425.0,7,3,6,6,8,26,7
50,5,5.773159728050814e-17,40,5.773159728050814e-17,50,2325.0,6,5.773159728050814e-17,8,67,-0.0216410276715,18,3450.0,7,4,2,11,11,25,6
50,6,1.9984014443252817e-17,44,1.9984014443252817e-17,61,2325.0,5,1.9984014443252817e-17,5,59,-0.047607419569,15,2275.0,7,2,4,8,10,33,7
47,6,5.60662627435704e-17,49,5.60662627435704e-17,58,1150.0,3,5.60662627435704e-17,22,33,-0.0141920555125,8,2300.0,7,5,9,6,10,26,8
45,5,6.661338147750939e-17,37,6.661338147750939e-17,45,25.0,5,6.661338147750939e-17,13,37,0.022355345387,14,3525.0,4,7,9,6,10,31,6
42,7,7.993605777301127e-17,21,7.993605777301127e-17,45,2375.0,2,7.993605777301127e-17,5,35,0.0359309820475,21,1150.0,5,7,9,10,8,31,14
51,6,3.1086244689504386e-17,21,3.1086244689504386e-17,52,2400.0,3,3.1086244689504386e-17,5,48,0.0594351311759999,28,4775.0,5,7,9,5,12,25,11
46,3,2.9663771439203397e-18,36,2.9663771439203397e-18,58,3050.0,5,2.9663771439203397e-18,10,48,0.0303877726324999,33,3675.0,6,2,1,11,16,23,5
47,3,4.329869796038111e-17,48,4.329869796038111e-17,46,25.0,5,4.329869796038111e-17,3,51,-0.019954692665,42,1175.0,5,2,5,11,18,17,5
42,3,6.994405055138485e-17,49,6.994405055138485e-17,41,3725.0,5,6.994405055138485e-17,6,41,-0.006645527913,49,1175.0,9,6,9,8,33,10,3
53,4,6.938893903907227e-17,41,6.938893903907227e-17,42,25.0,6,6.938893903907227e-17,10,54,-0.0119044747904999,21,3725.0,3,3,7,7,21,19,2
47,5,4.1078251911130785e-17,22,4.1078251911130785e-17,34,1150.0,5,4.1078251911130785e-17,8,61,0.006588105957,21,1300.0,3,8,6,4,5,19,6
53,6,2.1094237467877975e-17,25,2.1094237467877975e-17,31,2300.0,2,2.1094237467877975e-17,10,66,-0.0048345422894999,23,3425.0,6,8,7,7,5,22,7
55,9,4.440892098500626e-18,25,4.440892098500626e-18,52,1125.0,3,4.440892098500626e-18,19,27,-0.0580847891919999,15,3300.0,7,3,5,9,5,8,10
48,8,8.43769498715119e-17,28,8.43769498715119e-17,25,2300.0,5,8.43769498715119e-17,13,23,-0.0586966886125,15,4375.0,6,4,9,2,8,9,10
42,7,4.773959005888173e-17,32,4.773959005888173e-17,31,4300.0,6,4.773959005888173e-17,28,41,0.0423200926385,21,4325.0,5,4,17,7,9,17,20
38,9,4.440892098500626e-18,32,4.440892098500626e-18,29,25.0,5,4.440892098500626e-18,21,40,0.0147651865989999,20,3825.0,6,18,22,7,7,9,18
46,7,4.6629367034256567e-17,32,4.6629367034256567e-17,24,1075.0,6,4.6629367034256567e-17,29,20,-0.0532435754494999,18,4200.0,7,8,21,5,3,10,10
41,5,7.494005416219807e-17,35,7.494005416219807e-17,22,1075.0,7,7.494005416219807e-17,30,21,0.0481015647349999,16,25.0,7,6,13,6,4,13,7
43,6,6.494804694057164e-17,36,6.494804694057164e-17,23,25.0,4,6.494804694057164e-17,23,26,0.0276442955375,22,1125.0,10,5,12,7,19,11,4
52,3,3.219646771412954e-17,45,3.219646771412954e-17,28,1125.0,4,3.219646771412954e-17,11,29,-0.0144263692165,15,3900.0,6,1,9,3,17,12,4
50,4,8.881784197001254e-18,48,8.881784197001254e-18,37,2325.0,5,8.881784197001254e-18,11,50,-0.0005477705719999,41,4200.0,8,4,10,4,18,16,5
33,6,6.217248937900877e-17,43,6.217248937900877e-17,36,1200.0,5,6.217248937900877e-17,11,52,-0.0406099914524999,27,4175.0,17,3,10,2,38,25,5
46,7,3.3306690738754695e-18,37,3.3306690738754695e-18,36,1125.0,4,3.3306690738754695e-18,16,28,-0.0249384034649999,23,4425.0,3,4,7,3,4,32,10
40,7,5.773159728050814e-17,29,5.773159728050814e-17,50,1125.0,1,5.773159728050814e-17,5,48,0.096631824564,27,3325.0,5,5,7,7,8,26,13
44,5,7.105427357601002e-17,29,7.105427357601002e-17,40,3325.0,3,7.105427357601002e-17,3,75,0.0570846137515,20,1600.0,7,2,5,12,6,24,10
49,8,1.2434497875801754e-16,21,1.2434497875801754e-16,44,1150.0,4,1.2434497875801754e-16,25,17,-0.1029098819255,12,2900.0,5,3,4,5,4,11,13
42,8,7.771561172376094e-17,36,7.771561172376094e-17,63,1100.0,4,7.771561172376094e-17,3,59,-0.0454839503465,19,4125.0,7,2,1,10,16,30,4
47,3,3.816391647148976e-18,39,3.816391647148976e-18,55,1125.0,6,3.816391647148976e-18,6,48,0.0516597884034999,17,4600.0,10,2,1,2,27,26,2
34,7,3.9968028886505634e-17,38,3.9968028886505634e-17,21,1125.0,2,3.9968028886505634e-17,20,17,0.04839661603,19,4500.0,6,5,15,2,8,23,9
41,6,6.10622663543836e-17,41,6.10622663543836e-17,27,3475.0,5,6.10622663543836e-17,8,53,0.00961863011,16,3625.0,7,7,9,3,4,24,4
50,6,7.549516567451065e-17,49,7.549516567451065e-17,15,1125.0,2,7.549516567451065e-17,9,59,-0.0648695688014999,21,2225.0,7,5,10,3,14,25,7
54,5,1.5543122344752193e-17,42,1.5543122344752193e-17,41,3475.0,4,1.5543122344752193e-17,20,42,-0.0558721053124999,23,4175.0,5,2,3,7,19,17,4
48,3,9.992007221626408e-17,41,9.992007221626408e-17,45,1125.0,5,9.992007221626408e-17,3,58,-0.0207455504304999,27,2150.0,8,3,2,7,21,29,2
43,7,6.439293542825906e-17,32,6.439293542825906e-17,46,25.0,1,6.439293542825906e-17,5,52,0.0859190049959999,23,4500.0,8,4,5,5,10,24,9
42,3,8.881784197001254e-18,33,8.881784197001254e-18,36,25.0,5,8.881784197001254e-18,8,54,0.0437536221365,24,2250.0,8,9,6,5,9,21,8
43,6,9.769962616701378e-17,28,9.769962616701378e-17,45,2250.0,4,9.769962616701378e-17,7,54,-0.084421461621,20,2200.0,5,5,3,6,9,31,9
49,6,3.053113317719181e-17,28,3.053113317719181e-17,33,1150.0,5,3.053113317719181e-17,5,60,-0.0368037565984999,14,1100.0,4,6,12,7,7,37,5
49,6,1.1102230246251566e-17,37,1.1102230246251566e-17,49,1150.0,4,1.1102230246251566e-17,35,25,0.0005278866959999,13,4550.0,6,5,6,6,7,13,4
48,6,3.552713678800501e-17,28,3.552713678800501e-17,39,1125.0,3,3.552713678800501e-17,12,50,0.090637894277,18,1075.0,4,5,12,9,8,32,8
47,6,1.7763568394002505e-17,32,1.7763568394002505e-17,47,1125.0,2,1.7763568394002505e-17,16,52,0.053766151011,17,1075.0,5,2,7,4,11,25,4
41,5,2.6645352591003762e-17,36,2.6645352591003762e-17,59,1125.0,4,2.6645352591003762e-17,16,43,-0.0913895042564999,23,3375.0,7,4,4,5,17,21,5
51,4,1.8873791418627666e-17,32,1.8873791418627666e-17,58,1125.0,9,1.8873791418627666e-17,33,34,-0.0528341436179999,7,1100.0,6,2,4,7,7,17,5
54,4,2.220446049250313e-17,34,2.220446049250313e-17,43,1125.0,6,2.220446049250313e-17,6,60,0.0291808165105,8,4550.0,8,4,7,6,4,38,10
43,4,8.326672684688674e-17,40,8.326672684688674e-17,68,1125.0,4,8.326672684688674e-17,8,55,0.0210354853379999,16,4600.0,8,2,1,3,14,24,6
42,3,8.881784197001254e-18,49,8.881784197001254e-18,62,1125.0,6,8.881784197001254e-18,9,66,0.0175876174884999,21,2225.0,8,2,2,3,17,21,4
53,8,1.509903313490213e-16,28,1.509903313490213e-16,64,3400.0,3,1.509903313490213e-16,5,65,-0.0048924442515,25,650.0,3,1,7,5,7,27,14
50,8,1.7763568394002505e-17,31,1.7763568394002505e-17,43,1100.0,5,1.7763568394002505e-17,3,60,-0.0191322208939999,27,2150.0,4,5,9,8,8,35,11
41,7,3.3306690738754695e-18,38,3.3306690738754695e-18,28,2225.0,3,3.3306690738754695e-18,11,51,0.0369180577845,20,2200.0,8,10,14,6,7,31,12
49,8,5.773159728050814e-17,36,5.773159728050814e-17,40,4425.0,0,5.773159728050814e-17,23,17,0.0122345303109999,12,4400.0,7,2,6,10,6,21,15
58,9,3.58046925441613e-17,35,3.58046925441613e-17,37,1075.0,4,3.58046925441613e-17,16,53,-0.0743037392154999,19,3000.0,3,3,6,8,10,14,7
50,8,3.9968028886505634e-17,40,3.9968028886505634e-17,56,25.0,5,3.9968028886505634e-17,26,34,-0.0276675036659999,23,4225.0,2,2,1,8,17,14,4
47,6,7.771561172376094e-17,37,7.771561172376094e-17,56,3350.0,5,7.771561172376094e-17,27,16,0.0065767528479999,14,4425.0,3,3,6,3,19,13,9
53,5,2.886579864025407e-17,29,2.886579864025407e-17,37,25.0,4,2.886579864025407e-17,21,17,0.0524499026399999,14,2100.0,1,6,10,5,7,9,12
53,7,7.993605777301127e-17,30,7.993605777301127e-17,31,2200.0,5,7.993605777301127e-17,15,18,0.034497660086,15,1700.0,3,5,15,3,7,9,11
61,6,2.1649348980190556e-17,36,2.1649348980190556e-17,37,2250.0,6,2.1649348980190556e-17,20,21,-0.038956214269,17,3975.0,6,2,7,7,7,16,9
44,6,6.439293542825906e-17,37,6.439293542825906e-17,48,25.0,2,6.439293542825906e-17,18,19,0.0091604748789999,17,4450.0,6,3,1,6,9,18,9
