0,26,y_std,x_mean,z_abs_diff,10,z_tm_peaks,5,z_mean,2,x_std,7,mean_res_accel,22,24,9,27,4,28,6,15
6,11,2.2656300415546893,-0.013922550632,1.509903313490213e-16,4,4100.0,37,0.0825697954875,14,3.969150390981768,25,5.0987397334140185,16,70,5,3,33,7,44,35
7,4,2.177522702876296,0.0305864780785,6.106226635438361e-18,4,675.0,45,-0.0890372404404999,20,3.9623465470863177,24,5.119030870204345,21,66,6,4,37,3,34,36
5,6,2.1406046838610098,-0.0529065816844999,5.773159728050814e-17,4,3400.0,45,-0.0152123818595,17,3.7264809902282674,20,5.21898009202673,21,68,4,3,41,7,31,26
4,9,2.363244579678135,-0.0316506412654999,1.7763568394002505e-17,4,4775.0,47,0.1149000918934999,14,3.811415461602498,14,5.379011196752817,11,82,3,4,39,7,33,22
5,11,2.4720752665433308,0.0723347371394999,4.440892098500626e-17,7,4675.0,45,-0.0341275593505,14,4.244839051382467,12,5.672681789666544,11,81,5,6,32,5,45,24
7,10,2.0368087724303416,-0.079323093527,4.440892098500626e-17,7,3275.0,32,0.0602211633345,13,4.474460901161175,29,5.475790208458525,7,83,6,5,26,2,49,24
10,1,1.9623518457673683,-0.092152115666,2.220446049250313e-17,2,3250.0,47,-0.026189751604,19,4.49378248824576,20,5.363448639865721,15,74,6,4,33,5,36,19
7,3,2.0955548124133108,0.1541429063104999,2.775557561562892e-17,3,3525.0,49,-0.0984508135675001,17,4.352196939685528,23,5.581944452441251,16,69,6,5,28,6,44,20
5,7,2.0487652406685517,0.022937153689,3.9968028886505634e-17,3,4550.0,42,0.0181087445399999,10,4.194663778601123,26,5.233516014936767,18,69,7,2,25,8,52,16
8,4,1.910606698770409,-0.0062249241529999,1.9984014443252817e-17,2,3450.0,41,0.0289565660155,18,4.156858769757129,23,4.903359843355529,15,78,7,4,24,2,49,11
6,17,2.2072606971164834,-0.0292085918714999,6.661338147750939e-17,10,2925.0,39,0.0605209242175,16,4.234163333126304,31,5.316019446472192,13,63,7,8,19,1,49,12
6,16,2.351412903067716,-0.0946491865659999,5.773159728050814e-17,12,4375.0,35,-0.0616041764575,14,4.279373688743837,34,5.569085348403727,11,57,7,8,25,2,41,11
8,8,2.2318204386391227,0.0500245949129999,8.881784197001254e-18,12,2350.0,30,-0.044921060551,15,4.342305579811371,30,5.573884457360578,10,74,8,2,33,4,37,17
1,12,2.231789874017044,0.046229369787,7.105427357601002e-17,19,4250.0,33,0.1298841418374999,5,4.687709013971437,39,5.760029231516556,12,67,8,3,24,4,44,15
1,8,2.0675276250892143,-0.030660976641,1.1990408665951691e-16,19,3700.0,44,-0.09109296426,13,4.874450186867384,31,5.969766946464545,17,55,5,5,28,4,41,5
8,10,2.0637164397926457,-0.0491118950474999,5.440092820663267e-17,5,3150.0,37,-0.074977282188,19,4.676909866028728,14,5.983367135466539,20,56,3,4,39,5,37,21
3,10,2.0850472869824435,-0.0614046584385001,1.2434497875801754e-16,3,625.0,35,0.1809753928495,19,4.758010235601173,41,5.811879444209549,31,52,10,3,23,8,35,21
3,13,1.9695249824648289,0.1063046138229999,4.6629367034256567e-17,9,4150.0,28,-6.426580249996983e-05,23,4.913469117393638,37,5.964577921455167,20,55,11,4,19,7,47,20
8,12,1.6381459879624722,0.1915581025094998,7.549516567451065e-17,2,2575.0,41,-0.0997709523389999,17,4.5013160471965525,27,5.542431327509654,15,59,8,2,16,7,41,32
12,9,1.471142574741669,-0.091259924367,2.220446049250313e-17,3,4050.0,55,-0.1105473867469999,25,4.611695914708529,18,5.423846821654548,18,53,4,5,28,5,30,25
10,9,1.7505962244439948,-0.1159789837750001,3.219646771412954e-17,5,3125.0,46,-0.0200223391169999,22,5.081166135517218,16,5.966222793303044,20,49,6,5,28,5,34,17
8,4,1.7312223910975824,-0.02723046348,8.881784197001253e-17,9,4150.0,38,0.1313289483764999,20,5.006950187679905,20,5.845647165791286,28,50,7,5,25,4,40,11
12,2,1.646354807381829,0.0442428259834999,3.552713678800501e-17,5,4250.0,43,0.059860422291,17,4.79686696901544,17,5.661492900429189,25,47,5,8,24,3,36,17
8,3,1.702623913294952,0.010302425107,1.5765166949677222e-16,6,4600.0,35,-0.0245420575449999,16,4.461920947336178,20,5.267596122224242,25,51,10,6,30,8,41,32
6,13,1.791959950565275,-0.10577687761,4.440892098500626e-17,2,3850.0,36,0.017622691265,20,4.585490631034341,25,5.263966248214437,19,51,7,8,23,4,45,45
4,9,1.8518953848713964,-0.0450280729729999,1.2878587085651815e-16,2,3175.0,33,0.0155746656105,23,4.700916245525811,28,5.606675473586104,27,51,6,4,18,8,43,41
11,3,1.9925061876692756,0.045889901674,1.4099832412739488e-16,7,200.0,33,-0.080124603543,19,4.593316648483371,27,5.60108708851014,35,53,9,5,30,6,28,20
14,2,2.16579852552072,0.0019431199515,0.0,2,2750.0,38,0.0587462604004999,18,4.785337713433795,13,5.62464001391107,34,59,5,6,23,2,42,39
15,8,2.267782934552087,-0.0072922432764999,2.220446049250313e-17,3,2125.0,43,0.0704146275345,17,4.916985443757594,10,5.846729785726049,26,53,6,8,23,2,44,37
15,6,2.0775640117123624,0.0478552538584999,1.0769163338864017e-16,1,3175.0,39,-0.0893514335594999,18,4.800772593365424,12,5.714424267589589,28,55,6,6,34,3,33,36
17,4,1.6776604162001876,-0.0013413011099999,7.993605777301127e-17,5,1750.0,41,0.0133068520885001,11,4.759093536050693,13,5.400638753318759,20,62,7,3,36,5,30,16
16,4,1.5545271258121751,0.0432300130035,7.327471962526034e-17,5,2175.0,42,-0.0918291236599999,13,4.688489176095506,15,5.341009532351434,26,61,5,3,37,6,32,25
14,5,1.804915384450208,0.0951367801145,8.43769498715119e-17,11,4425.0,40,-0.082812950858,15,4.642695025552199,18,5.463181216952004,30,56,6,4,32,3,36,14
13,7,1.8842344972699308,-0.0273898129954998,1.9761969838327787e-16,11,4450.0,45,0.1056449574129999,18,4.582718812525649,8,5.4099233269338765,29,56,7,3,32,5,34,22
8,6,1.83319939638164,-0.0845727595654999,7.993605777301127e-17,5,4000.0,50,0.0921421372829999,18,4.302191666595618,10,5.058791962946731,25,63,4,2,29,7,32,27
19,9,1.801674426174868,0.0343505905765,1.1546319456101628e-16,2,1025.0,40,0.0476579462779999,20,4.5291810114904285,15,5.44835379414693,25,55,4,5,27,5,33,20
18,8,1.783275809472869,0.0297940758234999,2.6645352591003762e-17,6,4575.0,36,-0.0931029730199999,22,4.589376768536683,16,5.626493333375288,35,49,5,4,27,8,34,15
12,4,1.747521692490024,0.009462291718,4.440892098500626e-18,3,2200.0,40,0.0250379133739999,23,4.1215429965854415,15,4.947552539158466,28,64,3,4,30,5,35,19
14,2,1.8821019217704,-0.0121363304094999,3.552713678800501e-17,6,4300.0,44,-0.0645643106169999,20,4.322310673937174,4,5.089468538403438,31,57,3,6,33,4,34,35
16,2,1.9415863798427755,0.0408852674175,5.10702591327572e-17,5,1300.0,34,-0.0716361349344999,14,4.829960422763275,9,5.642126793601748,31,50,7,8,38,2,37,33
14,4,1.9343993264301236,0.0116889076219999,6.661338147750939e-17,4,4450.0,38,0.0656580645279999,18,4.567797770819558,18,5.420952578810332,33,59,6,4,36,4,32,31
2,6,2.1862947929290306,-0.1364261079905,1.3322676295501878e-16,6,1075.0,41,0.0578342260085,19,4.367681695998436,18,5.286923587482768,33,55,2,1,30,6,40,31
6,6,2.256809889670698,-0.052206882995,1.3322676295501878e-16,4,4300.0,37,-0.0293632665345,15,4.60580226166584,24,5.542467749171516,30,45,4,2,32,7,39,39
9,5,2.19954860560244,0.083194150501,8.65973959207622e-17,2,3275.0,46,-0.042135653438,18,4.832838706325836,13,5.769918914939027,24,47,3,5,31,5,34,35
7,2,1.8887827542939728,0.0947549860805,4.6629367034256567e-17,7,4475.0,56,0.0286640273645,18,4.919601568600777,7,5.515058518933805,28,60,3,7,33,2,28,16
7,8,1.7264595495305493,-0.0515360606509999,1.1546319456101628e-16,2,2100.0,63,0.016120729132,16,4.668078968823451,6,5.2560166635809455,19,58,2,6,36,3,25,34
8,13,1.933823225813449,-0.0362815801685,4.440892098500626e-18,3,4425.0,50,0.0463904715985,17,4.581842260652943,17,5.626957216590119,16,57,4,6,22,4,38,30
5,16,1.9740579035287256,0.018286614228,1.8207657603852566e-16,6,225.0,51,-0.0286801244305,20,4.5386970174523205,13,5.564717580671791,20,54,3,5,25,8,38,24
6,11,1.8193947620460795,0.05965019511,1.3322676295501878e-17,7,4975.0,50,-0.025031643385,16,4.0118559821704585,8,4.731647311040933,39,42,2,4,38,5,37,22
8,14,1.7301401666647631,-0.0767793511595,3.552713678800501e-17,13,3925.0,45,0.0491436084589999,15,3.532485698516689,17,4.600116172839488,21,69,4,4,43,5,33,12
4,13,1.993514704244096,0.0283040458229999,8.881784197001254e-18,3,1625.0,55,-0.000160444493,24,3.860357635046215,19,5.094555247098627,16,57,2,3,41,4,20,53
6,8,2.3112979470960773,0.0686798318954998,3.774758283725532e-16,3,4050.0,44,-0.0508777935525001,23,4.231668250822926,24,5.429109181662995,23,50,3,5,31,1,29,43
5,12,2.28531893229961,-0.1134244440749999,4.440892098500626e-17,10,3950.0,44,0.0761908091449999,20,4.43758936488731,29,5.6405543092716615,10,58,5,1,24,7,32,32
8,4,2.2865981928736447,0.0377724026604999,6.439293542825906e-17,11,3975.0,43,-0.1313131554235,18,4.515061120805994,36,5.696379350751432,16,52,5,5,24,2,27,22
8,4,2.323342328845071,0.0841188592585,7.827072323607353e-17,12,4400.0,44,-0.1051358546365,16,4.586579657740389,29,5.758169719188618,25,54,7,5,29,1,26,22
6,5,2.265065784266451,-0.0610422236064999,2.6645352591003762e-17,3,1125.0,43,0.1404409972245,22,4.587197512233803,23,5.758860117466449,20,62,7,7,25,3,37,37
7,9,2.204343556112267,0.027784508931,8.548717289613706e-17,4,3550.0,41,0.0499125268955,17,4.452115313742231,17,5.631029011433076,14,70,5,7,29,4,47,40
11,9,2.2285125266065298,0.062107864913,8.43769498715119e-17,8,4050.0,42,-0.031625793362,20,4.749742481196797,10,5.840184692143447,15,65,3,2,35,3,40,17
11,7,2.261186951712887,-0.0582776728825001,2.486899575160351e-16,8,2125.0,47,-0.0664723239909999,21,4.876432083916886,6,6.037059113161493,18,59,2,4,43,4,30,19
7,5,2.2768473925890502,-0.008203932102,1.3322676295501878e-17,4,2475.0,53,0.0352114003115001,19,4.571876675153241,6,5.733415745845353,16,60,1,4,44,5,21,15
6,2,2.244909623190307,-0.0292237977769999,4.440892098500626e-18,5,4775.0,47,0.037111643976,20,4.254013964445157,13,5.40644319119661,20,51,5,2,34,6,40,21
6,4,2.06703962674106,0.0843645043619999,4.440892098500626e-17,5,4050.0,46,0.0186636710019999,16,4.314041384082906,14,5.378310725731308,13,65,5,1,28,7,54,22
9,5,2.288933657509291,0.0262886386114999,1.021405182655144e-16,5,2950.0,37,-0.0235797835969999,15,4.6079702010582615,18,5.852796482380556,15,65,3,1,27,7,56,22
8,8,2.3480900197006624,-0.138489280523,1.7763568394002505e-17,4,1025.0,40,-0.0308498756449999,18,4.57706793016582,25,6.023512707177921,11,55,8,2,17,7,49,21
6,4,2.3272217259077657,0.0102604254164999,7.549516567451065e-17,1,4725.0,42,0.0252914759235,18,4.386702110424875,24,5.757628444907306,14,59,9,2,25,7,42,20
7,4,2.303825363492593,0.0460919287444999,7.993605777301127e-17,1,1550.0,45,0.0084200640319999,21,4.425346139174373,22,5.615311218741839,16,59,6,5,27,3,40,26
7,5,2.173083841483239,0.054916228684,1.2656542480726783e-16,12,3625.0,45,0.0485511919709999,20,4.316891807587769,20,5.333019525508735,16,77,5,3,28,5,38,21
2,3,2.2048505253922843,0.0238497733815,1.2878587085651815e-16,16,1825.0,38,-0.062359474885,10,4.483475047841795,35,5.581580712256392,15,65,7,4,22,6,49,21
2,13,2.325367480925197,-0.036393262868,4.884981308350689e-17,16,1100.0,24,-0.036617561463,10,4.684108811877016,44,6.197400144423939,15,57,7,3,20,9,45,9
7,13,2.390204834378585,-0.062731291938,2.886579864025407e-17,11,4650.0,25,0.0587464979435,19,4.407019676528313,35,6.180265283843637,14,58,8,4,23,6,41,16
4,22,2.272680165854966,-0.0569020444475,0.0,8,3825.0,40,0.046510051942,13,4.417480003878425,37,5.964571656066063,13,71,6,4,21,4,39,24
5,21,2.3259159855263216,0.0873652005019999,1.40165656858926e-17,7,1825.0,41,-0.1242550477704999,9,4.4742820002499695,36,5.883292830489511,15,69,7,1,17,7,40,16
9,13,2.4512329801058503,0.0401081740699999,2.886579864025407e-17,4,3125.0,45,-0.0602466425925,23,4.532674769584689,30,5.912706504836113,16,62,6,4,26,7,26,10
9,7,2.446951712467723,-0.0602249245825001,2.886579864025407e-17,3,4650.0,43,0.1218151089390001,17,4.549255278723611,29,5.841826164769828,16,70,6,5,32,3,25,19
8,7,2.3664453146796776,0.0437073433925,1.1324274851176594e-16,6,3925.0,37,0.0402146912914999,14,4.350716586458229,26,5.5325490543154725,13,80,7,4,33,1,42,14
9,3,2.294997264621475,0.0113944450404999,2.220446049250313e-17,15,2975.0,35,0.0094918385294999,9,4.354396153996711,21,5.445407646024978,12,82,8,5,32,1,50,8
9,4,2.1393413652929505,-0.1392835405945,1.021405182655144e-16,15,3875.0,37,-0.0591478527664999,11,4.376175367870958,30,5.576758817719752,13,70,8,4,33,0,34,7
8,10,2.4016846073886247,0.006557666934,1.8651746813702632e-16,3,2400.0,39,0.0092199785685,16,4.32438485980636,18,5.688130833972457,14,65,5,4,36,3,38,13
10,7,2.4298057516197527,0.0881829279474999,2.220446049250313e-17,4,4875.0,42,0.023583037257,22,4.162235063497485,17,5.486542257839989,13,57,4,3,37,3,33,16
6,17,2.105534436906023,-0.0971233718035,2.6645352591003762e-17,9,4075.0,39,0.0761966243365,12,4.327388340244593,28,5.380655358036954,11,70,5,6,28,0,43,15
5,19,2.262061813683567,-0.00487495046,1.354472090042691e-16,18,4300.0,41,-0.1498250885165,11,4.340248317475681,32,5.524552051274716,10,75,5,5,28,0,37,6
6,18,2.439455812620839,0.150133993652,7.438494264988548e-17,7,2250.0,44,-0.1208380007019999,13,4.199779246989403,31,5.684072138200735,11,75,5,5,28,3,30,11
7,23,2.3333637173017503,0.034220691127,1.9539925233402755e-16,8,3375.0,39,0.1459426654024998,16,4.236059086965636,27,5.72094032521378,9,74,4,9,27,6,39,11
2,18,2.3799695555338314,-0.0603884358379999,2.6645352591003762e-17,7,2275.0,29,0.0218152829074999,13,4.616266114231125,37,5.941258350964825,11,65,5,11,24,5,52,19
2,11,2.383502141304793,-0.1195480655594999,1.393329895904571e-16,9,4450.0,37,0.0053396223909999,14,4.697061510716225,34,5.903106921687956,11,63,7,11,27,5,43,27
9,16,2.491926368252948,-0.0107225987859999,1.6431300764452314e-16,16,4700.0,36,0.019417667016,16,4.219454678922944,26,5.462620914969352,10,62,6,3,37,6,27,11
4,21,2.6304595993562807,0.134686158986,9.769962616701378e-17,3,1250.0,39,0.0362418381895,15,4.3387365245176,21,5.665113132602466,14,54,2,9,42,4,37,26
5,21,2.396706838858552,0.0171372169454999,6.217248937900877e-17,3,4075.0,34,-0.0264846396394999,15,4.524053185446824,23,5.763284443954718,16,49,4,7,40,4,39,26
10,21,2.2061342483434934,-0.0811756934645,5.3290705182007506e-17,9,3350.0,35,-0.040946269019,16,4.324816588535365,28,5.567388403280827,11,64,7,3,37,5,29,9
10,28,2.4550875373894487,-0.043619860869,3.552713678800501e-17,11,2375.0,27,0.0087014864075,15,4.44675883383346,17,5.718564486626267,10,63,4,2,46,3,33,11
10,26,2.6622967513992584,0.119503175013,6.265821195228227e-17,12,4600.0,40,0.0123039118294999,22,4.446632671184826,20,5.678165717585111,8,76,5,4,35,0,30,11
11,24,2.506375258408284,0.041811600022,7.105427357601002e-17,11,1775.0,38,0.0016072438799999,19,4.251918371351324,30,5.601866717560013,13,72,4,5,25,3,35,19
10,21,2.3353265599121875,-0.0846279207585,1.021405182655144e-16,4,4450.0,34,0.0189065783699999,17,4.381940355831327,29,5.785627570048773,11,57,8,6,18,6,34,20
13,21,2.32690482555952,-0.036445696782,9.325873406851316e-17,7,4675.0,40,0.0222635599669999,18,4.417732030103879,26,5.770568170044609,11,56,5,5,25,4,28,13
5,24,2.294937081433209,0.0860924888329999,6.217248937900877e-17,7,3900.0,33,-0.013801825924,13,4.335057262053284,32,5.458187283995501,15,66,4,5,33,5,40,14
8,23,2.159092093740529,0.106090253417,8.770761894538737e-17,6,1750.0,28,-0.1404291919415,15,4.327117559071185,39,5.4126718065254025,15,57,7,4,22,4,36,22
6,18,2.248111873508946,-0.1123884538104999,8.215650382226157e-17,2,3800.0,33,-0.0506118859765,15,3.915957356504233,37,5.079439136365992,24,54,5,5,28,5,45,29
3,4,1.7258111086146124,-0.0718898136285,8.687495167691851e-17,2,4575.0,104,0.0889028083419999,7,2.3811723481385734,24,2.8423560515077737,38,41,2,3,14,3,35,94
11,20,0.6181184763185653,0.0267434480824999,2.331468351712829e-17,8,4975.0,3,0.045904700298,74,0.4734296352113076,0,1.040256945218622,32,31,1,7,16,0,2,2
2,14,1.2671355085899212,0.0187077847684999,2.220446049250313e-18,2,1025.0,23,-0.053681546784,1,2.176078042948252,21,2.5611178918744786,11,58,5,9,5,2,131,42
2,15,2.055111010313545,-0.0398524099434999,6.217248937900877e-17,6,4425.0,60,-0.0024181185555,6,3.532180330957516,29,4.607458012618933,23,62,6,6,29,1,44,10
9,15,2.2507532801605614,-0.0522151293739999,1.7763568394002506e-16,16,4800.0,39,0.0969933853625,15,4.112809102211308,16,5.3763302204992485,16,75,5,9,36,2,40,12
4,18,2.174832822714765,0.0301445805539999,4.218847493575595e-17,13,4975.0,49,-0.017976574599,23,4.056065481164617,21,5.417965147963006,20,79,5,7,21,4,48,12
2,19,2.3034384174352285,0.0407521936214999,2.55351295663786e-17,15,3850.0,56,0.0035084210329999,11,2.983905851612701,22,4.299640386522517,15,95,1,7,27,3,62,17
